 x	data5	data4	data3	data2	data1	
0	0.00010193	0.11172	0.693247	2.2471	9.19128	
0.020202	0.000122726	0.116369	0.693245	2.20861	9.00562	
0.040404	0.000147765	0.1212	0.693243	2.1703	8.81996	
0.0606061	0.000177911	0.126219	0.693241	2.13218	8.63431	
0.0808081	0.000214208	0.131432	0.693239	2.09426	8.44867	
0.10101	0.000257909	0.136847	0.693237	2.05654	8.26303	
0.121212	0.000310524	0.142469	0.693235	2.01902	8.0774	
0.141414	0.00037387	0.148306	0.693233	1.98172	7.89179	
0.161616	0.000450137	0.154363	0.693231	1.94463	7.70618	
0.181818	0.000541957	0.160649	0.693229	1.90778	7.5206	
0.20202	0.0006525	0.16717	0.693227	1.87116	7.33503	
0.222222	0.000785582	0.173934	0.693225	1.83479	7.14948	
0.242424	0.000945794	0.180947	0.693223	1.79866	6.96396	
0.262626	0.00113866	0.188217	0.693221	1.76279	6.77847	
0.282828	0.00137083	0.195752	0.693219	1.72719	6.59302	
0.30303	0.0016503	0.203558	0.693217	1.69186	6.40762	
0.323232	0.00198669	0.211645	0.693215	1.6568	6.22228	
0.343434	0.00239157	0.220018	0.693213	1.62204	6.037	
0.363636	0.00287883	0.228687	0.693211	1.58757	5.85181	
0.383838	0.00346521	0.237658	0.693209	1.5534	5.66672	
0.40404	0.00417076	0.24694	0.693207	1.51954	5.48174	
0.424242	0.00501962	0.256539	0.693205	1.486	5.29691	
0.444444	0.00604073	0.266465	0.693203	1.45279	5.11225	
0.464646	0.00726879	0.276724	0.693201	1.41991	4.9278	
0.484848	0.00874543	0.287324	0.693199	1.38737	4.74359	
0.505051	0.0105205	0.298273	0.693197	1.35518	4.55969	
0.525253	0.0126535	0.309578	0.693195	1.32335	4.37614	
0.545455	0.0152157	0.321246	0.693193	1.29187	4.19302	
0.565657	0.0182921	0.333285	0.693191	1.26078	4.01042	
0.585859	0.0219836	0.345703	0.693189	1.23005	3.82843	
0.606061	0.0264103	0.358505	0.693187	1.19972	3.64718	
0.626263	0.0317144	0.371699	0.693185	1.16977	3.4668	
0.646465	0.0380636	0.385291	0.693183	1.14022	3.28747	
0.666667	0.0456551	0.399288	0.693181	1.11108	3.10938	
0.686869	0.0547198	0.413696	0.693178	1.08235	2.93276	
0.707071	0.0655261	0.428521	0.693176	1.05404	2.75789	
0.727273	0.0783842	0.443768	0.693174	1.02615	2.58507	
0.747475	0.0936497	0.459443	0.693172	0.998681	2.41465	
0.767677	0.111726	0.475552	0.69317	0.971651	2.24705	
0.787879	0.133065	0.492097	0.693168	0.945058	2.08271	
0.808081	0.158169	0.509086	0.693166	0.918907	1.92213	
0.828283	0.187582	0.52652	0.693164	0.893202	1.76586	
0.848485	0.221885	0.544404	0.693162	0.867947	1.61449	
0.868687	0.261684	0.562742	0.69316	0.843145	1.46861	
0.888889	0.307593	0.581535	0.693158	0.8188	1.32883	
0.909091	0.36021	0.600788	0.693156	0.794913	1.19577	
0.929293	0.420096	0.620501	0.693154	0.771487	1.06998	
0.949495	0.487744	0.640677	0.693152	0.748524	0.951944	
0.969697	0.563552	0.661316	0.69315	0.726025	0.842073	
0.989899	0.647804	0.682421	0.693148	0.70399	0.740644	
1.0101	0.740644	0.70399	0.693146	0.682421	0.647804	
1.0303	0.842073	0.726025	0.693144	0.661316	0.563552	
1.05051	0.951944	0.748524	0.693142	0.640677	0.487744	
1.07071	1.06998	0.771487	0.69314	0.620501	0.420096	
1.09091	1.19577	0.794913	0.693138	0.600788	0.36021	
1.11111	1.32883	0.8188	0.693136	0.581535	0.307593	
1.13131	1.46861	0.843145	0.693134	0.562742	0.261684	
1.15152	1.61449	0.867947	0.693132	0.544404	0.221885	
1.17172	1.76586	0.893202	0.69313	0.52652	0.187582	
1.19192	1.92213	0.918907	0.693128	0.509086	0.158169	
1.21212	2.08271	0.945058	0.693126	0.492097	0.133065	
1.23232	2.24705	0.971651	0.693124	0.475552	0.111726	
1.25253	2.41465	0.998681	0.693122	0.459443	0.0936497	
1.27273	2.58507	1.02615	0.69312	0.443768	0.0783842	
1.29293	2.75789	1.05404	0.693118	0.428521	0.0655261	
1.31313	2.93276	1.08235	0.693116	0.413696	0.0547198	
1.33333	3.10938	1.11108	0.693114	0.399288	0.0456551	
