 x	data2	data1	
0	0.000101924	0.999898	
0.020202	0.000122718	0.999877	
0.040404	0.000147754	0.999852	
0.0606061	0.000177896	0.999822	
0.0808081	0.000214185	0.999786	
0.10101	0.000257876	0.999742	
0.121212	0.000310476	0.99969	
0.141414	0.000373801	0.999626	
0.161616	0.000450036	0.99955	
0.181818	0.00054181	0.999458	
0.20202	0.000652287	0.999348	
0.222222	0.000785274	0.999215	
0.242424	0.000945347	0.999055	
0.262626	0.00113801	0.998862	
0.282828	0.00136989	0.99863	
0.30303	0.00164894	0.998351	
0.323232	0.00198472	0.998015	
0.343434	0.00238871	0.997611	
0.363636	0.00287469	0.997125	
0.383838	0.00345921	0.996541	
0.40404	0.00416208	0.995838	
0.424242	0.00500705	0.994993	
0.444444	0.00602252	0.993977	
0.464646	0.00724244	0.992758	
0.484848	0.0087073	0.991293	
0.505051	0.0104653	0.989535	
0.525253	0.0125738	0.987426	
0.545455	0.0151006	0.984899	
0.565657	0.0181258	0.981874	
0.585859	0.0217437	0.978256	
0.606061	0.0260646	0.973935	
0.626263	0.0312167	0.968783	
0.646465	0.0373482	0.962652	
0.666667	0.0446286	0.955371	
0.686869	0.0532496	0.94675	
0.707071	0.0634254	0.936575	
0.727273	0.0753909	0.924609	
0.747475	0.0893983	0.910602	
0.767677	0.105711	0.894289	
0.787879	0.124592	0.875408	
0.808081	0.146295	0.853705	
0.828283	0.171039	0.828961	
0.848485	0.198993	0.801007	
0.868687	0.230246	0.769754	
0.888889	0.264786	0.735214	
0.909091	0.30247	0.69753	
0.929293	0.343016	0.656984	
0.949495	0.38599	0.61401	
0.969697	0.430817	0.569183	
0.989899	0.476807	0.523193	
1.0101	0.523193	0.476807	
1.0303	0.569183	0.430817	
1.05051	0.61401	0.38599	
1.07071	0.656984	0.343016	
1.09091	0.69753	0.30247	
1.11111	0.735214	0.264786	
1.13131	0.769754	0.230246	
1.15152	0.801007	0.198993	
1.17172	0.828961	0.171039	
1.19192	0.853705	0.146295	
1.21212	0.875408	0.124592	
1.23232	0.894289	0.105711	
1.25253	0.910602	0.0893983	
1.27273	0.924609	0.0753909	
1.29293	0.936575	0.0634254	
1.31313	0.94675	0.0532496	
1.33333	0.955371	0.0446286	
1.35354	0.962652	0.0373482	
1.37374	0.968783	0.0312167	
1.39394	0.973935	0.0260646	
1.41414	0.978256	0.0217437	
1.43434	0.981874	0.0181258	
1.45455	0.984899	0.0151006	
1.47475	0.987426	0.0125738	
1.49495	0.989535	0.0104653	
1.51515	0.991293	0.0087073	
1.53535	0.992758	0.00724244	
1.55556	0.993977	0.00602252	
1.57576	0.994993	0.00500705	
1.59596	0.995838	0.00416208	
1.61616	0.996541	0.00345921	
1.63636	0.997125	0.00287469	
1.65657	0.997611	0.00238871	
1.67677	0.998015	0.00198472	
1.69697	0.998351	0.00164894	
1.71717	0.99863	0.00136989	
1.73737	0.998862	0.00113801	
1.75758	0.999055	0.000945347	
1.77778	0.999215	0.000785274	
1.79798	0.999348	0.000652287	
1.81818	0.999458	0.00054181	
1.83838	0.99955	0.000450036	
1.85859	0.999626	0.000373801	
1.87879	0.99969	0.000310476	
1.89899	0.999742	0.000257876	
1.91919	0.999786	0.000214185	
1.93939	0.999822	0.000177896	
1.9596	0.999852	0.000147754	
1.9798	0.999877	0.000122718	
2	0.999898	0.000101924	
