 x	Error4	Error2	Error0	
1	79.7171	85.8831	93.176	
2	79.6931	85.8591	93.152	
3	79.6691	85.8351	93.128	
4	79.6451	85.8111	93.104	
5	79.6211	85.7871	93.08	
6	79.5971	85.7631	93.056	
7	79.5731	85.7391	93.032	
8	79.5491	85.7151	93.008	
9	79.5251	85.6911	92.984	
10	79.5011	85.6671	92.96	
11	79.4771	85.6431	92.936	
12	79.4531	85.6191	92.912	
13	79.4291	85.5951	92.888	
14	79.4051	85.5711	92.864	
15	79.3811	85.5471	92.84	
16	79.3571	85.5231	92.816	
17	79.3331	85.4991	92.792	
18	79.3091	85.4751	92.768	
19	79.2851	85.4511	92.744	
20	79.2611	85.4271	92.72	
21	79.2371	85.4031	92.696	
22	79.2131	85.3791	92.672	
23	79.1891	85.3551	92.648	
24	79.1651	85.3311	92.624	
25	79.1411	85.3071	92.6	
26	79.1171	85.2831	92.576	
27	79.0931	85.2591	92.552	
28	79.0691	85.2351	92.528	
29	79.0451	85.2111	92.504	
30	79.0211	85.1871	92.48	
31	78.9971	85.1631	92.456	
32	78.9731	85.1391	92.432	
33	78.9491	85.1151	92.408	
34	78.9251	85.0911	92.384	
35	78.9011	85.0671	92.36	
36	78.8771	85.0431	92.336	
37	78.8531	85.0191	92.312	
38	78.8291	84.9951	92.288	
39	78.8051	84.9711	92.264	
40	78.7811	84.9471	92.24	
41	78.7571	84.9231	92.216	
42	78.7331	84.8991	92.192	
43	78.7091	84.8751	92.168	
44	78.6851	84.8511	92.144	
45	78.6611	84.8271	92.12	
46	78.6371	84.8031	92.096	
47	78.6131	84.7791	92.072	
48	78.5891	84.7551	92.048	
49	78.5651	84.7311	92.024	
50	78.5411	84.7071	92	
51	78.5171	84.6831	91.976	
52	78.4931	84.6591	91.952	
53	78.4691	84.6351	91.928	
54	78.4451	84.6111	91.904	
55	78.4211	84.5871	91.88	
56	78.3971	84.5631	91.856	
57	78.3731	84.5391	91.832	
58	78.3491	84.5151	91.808	
59	78.3251	84.4911	91.784	
60	78.3011	84.4671	91.76	
61	78.2771	84.4431	91.736	
62	78.2531	84.4191	91.712	
63	78.2291	84.3951	91.688	
64	78.2051	84.3711	91.664	
65	78.1811	84.3471	91.64	
66	78.1571	84.3231	91.616	
67	78.1331	84.2991	91.592	
68	78.1091	84.2751	91.568	
69	78.0851	84.2511	91.544	
70	78.0611	84.2271	91.52	
71	78.0371	84.2031	91.496	
72	78.0131	84.1791	91.472	
73	77.9891	84.1551	91.448	
74	77.9651	84.1311	91.424	
75	77.9411	84.1071	91.4	
76	77.9171	84.0831	91.376	
77	77.8931	84.0591	91.352	
78	77.8691	84.0351	91.328	
79	77.8451	84.0111	91.304	
80	77.8211	83.9871	91.28	
81	77.7971	83.9631	91.256	
82	77.7731	83.9391	91.232	
83	77.7491	83.9151	91.208	
84	77.7251	83.8911	91.184	
85	77.7011	83.8671	91.16	
86	77.6771	83.8431	91.136	
87	77.6531	83.8191	91.112	
88	77.6291	83.7951	91.088	
89	77.6051	83.7711	91.064	
90	77.5811	83.7471	91.04	
91	77.5571	83.7231	91.016	
92	77.5331	83.6991	90.992	
93	77.5091	83.6751	90.968	
94	77.4851	83.6511	90.944	
95	77.4611	83.6271	90.92	
96	77.4371	83.6031	90.896	
97	77.4131	83.5791	90.872	
98	77.3891	83.5551	90.848	
99	77.3651	83.5311	90.824	
100	77.3411	83.5071	90.8	
101	77.3171	83.4831	90.776	
102	77.2931	83.4591	90.752	
103	77.2691	83.4351	90.728	
104	77.2451	83.4111	90.704	
105	77.2211	83.3871	90.68	
106	77.1971	83.3631	90.656	
107	77.1731	83.3391	90.632	
108	77.1491	83.3151	90.608	
109	77.1251	83.2911	90.584	
110	77.1011	83.2671	90.56	
111	77.0771	83.2431	90.536	
112	77.0531	83.2191	90.512	
113	77.0291	83.1951	90.488	
114	77.0051	83.1711	90.464	
