 x1	  y1
0	 0.00093671
0.0177494	 0.00110265
0.0354988	 0.00129799
0.0532481	 0.00152791
0.0709975	 0.00179855
0.0887469	 0.00211711
0.106496	 0.00249205
0.124246	 0.00293336
0.141995	 0.00345275
0.159744	 0.00406404
0.177494	 0.00478343
0.195243	 0.00563001
0.212993	 0.0066262
0.230742	 0.00779836
0.248491	 0.00917746
0.266241	 0.0107999
0.28399	 0.0127083
0.301739	 0.0149528
0.319489	 0.0175923
0.337238	 0.0206956
0.354988	 0.0243433
0.372737	 0.02863
0.390486	 0.0336659
0.408236	 0.0395799
0.425985	 0.046522
0.443734	 0.0546671
0.461484	 0.0642178
0.479233	 0.0754089
0.496983	 0.0885116
0.514732	 0.103838
0.532481	 0.121744
0.550231	 0.142637
0.56798	 0.166978
0.585729	 0.195283
0.603479	 0.228128
0.621228	 0.266144
0.638978	 0.310016
0.656727	 0.360472
0.674476	 0.418264
0.692226	 0.484145
0.709975	 0.558832
0.727725	 0.642953
0.745474	 0.736984
0.763223	 0.841165
0.780973	 0.955404
0.798722	 1.07916
0.816471	 1.21136
0.834221	 1.35023
0.85197	 1.4933
0.86972	 1.63732
0.887469	 1.77827
0.905218	 1.91159
0.922968	 2.03228
0.940717	 2.13534
0.958466	 2.21607
0.976216	 2.27056
0.993965	 2.29603
1.01171	 2.29115
1.02946	 2.25618
1.04721	 2.19293
1.06496	 2.10458
1.08271	 1.99534
1.10046	 1.87006
1.11821	 1.73377
1.13596	 1.59136
1.15371	 1.44725
1.17146	 1.3052
1.18921	 1.16823
1.20696	 1.03858
1.22471	 0.917776
1.24246	 0.806721
1.26021	 0.705796
1.27796	 0.614975
1.2957	 0.533933
1.31345	 0.462138
1.3312	 0.398926
1.34895	 0.343564
1.3667	 0.295297
1.38445	 0.253375
1.4022	 0.217086
1.41995	 0.18576
1.4377	 0.158783
1.45545	 0.135599
1.4732	 0.115709
1.49095	 0.0986705
1.5087	 0.0840926
1.52645	 0.0716335
1.5442	 0.060995
1.56195	 0.051918
1.57969	 0.0441786
1.59744	 0.0375832
1.61519	 0.0319654
1.63294	 0.0271824
1.65069	 0.0231114
1.66844	 0.0196474
1.68619	 0.0167007
1.70394	 0.0141946
1.72169	 0.0120636
1.73944	 0.0102518
1.75719	 0.00871153
1.77494	 0.00740234
1.79269	 0.00628962
1.81044	 0.00534397
1.82819	 0.00454036
1.84594	 0.00385749
1.86368	 0.00327726
1.88143	 0.00278424
1.89918	 0.00236536
1.91693	 0.00200947
1.93468	 0.0017071
1.95243	 0.00145022
1.97018	 0.00123198
1.98793	 0.00104658
2.00568	 0.000889074
2.02343	 0.000755267
2.04118	 0.000641596
2.05893	 0.000545031
2.07668	 0.000462998
2.09443	 0.000393311
2.11218	 0.000334112
2.12993	 0.000283822
2.14767	 0.000241102
2.16542	 0.000204812
2.18317	 0.000173983
2.20092	 0.000147795
2.21867	 0.000125549
2.23642	 0.000106651
2.25417	 9.05975e-05
2.27192	 7.69605e-05
2.28967	 6.53761e-05
2.30742	 5.55354e-05
2.32517	 4.7176e-05
2.34292	 4.00749e-05
2.36067	 3.40426e-05
2.37842	 2.89184e-05
2.39617	 2.45654e-05
2.41392	 2.08677e-05
2.43166	 1.77266e-05
2.44941	 1.50583e-05
2.46716	 1.27916e-05
2.48491	 1.08662e-05
2.50266	 9.23054e-06
2.52041	 7.8411e-06
2.53816	 6.66082e-06
2.55591	 5.65819e-06
2.57366	 4.80649e-06
2.59141	 4.08299e-06
2.60916	 3.4684e-06
2.62691	 2.94631e-06
2.64466	 2.50282e-06
2.66241	 2.12608e-06
2.68016	 1.80605e-06
2.69791	 1.53419e-06
2.71565	 1.30326e-06
2.7334	 1.10708e-06
2.75115	 9.40439e-07
2.7689	 7.98879e-07
2.78665	 6.78627e-07
2.8044	 5.76476e-07
2.82215	 4.89702e-07
2.8399	 4.15989e-07
2.85765	 3.53372e-07
2.8754	 3.0018e-07
2.89315	 2.54995e-07
2.9109	 2.16612e-07
2.92865	 1.84006e-07
2.9464	 1.56309e-07
2.96415	 1.3278e-07
2.9819	 1.12793e-07
2.99965	 9.5815e-08
3.01739	 8.13924e-08
3.03514	 6.91407e-08
3.05289	 5.87333e-08
3.07064	 4.98924e-08
3.08839	 4.23823e-08
3.10614	 3.60027e-08
3.12389	 3.05834e-08
3.14164	 2.59798e-08
3.15939	 2.20691e-08
3.17714	 1.87472e-08
3.19489	 1.59252e-08
3.21264	 1.35281e-08
3.23039	 1.14918e-08
3.24814	 9.76195e-09
3.26589	 8.29252e-09
3.28364	 7.04429e-09
3.30138	 5.98394e-09
3.31913	 5.0832e-09
3.33688	 4.31805e-09
3.35463	 3.66807e-09
3.37238	 3.11593e-09
3.39013	 2.6469e-09
3.40788	 2.24848e-09
3.42563	 1.91002e-09
3.44338	 1.62252e-09
3.46113	 1.37829e-09
3.47888	 1.17082e-09
3.49663	 9.9458e-10
3.51438	 8.4487e-10
3.53213	 7.17695e-10
3.54988	 6.09663e-10
