 x	Error4	Error2	Error0	
1	4.01326	4.22557	4.40882	
2	4.01235	4.22484	4.40835	
3	4.01143	4.22411	4.40789	
4	4.01051	4.22338	4.40742	
5	4.0096	4.22264	4.40695	
6	4.00868	4.22191	4.40648	
7	4.00776	4.22117	4.40601	
8	4.00684	4.22043	4.40554	
9	4.00592	4.2197	4.40507	
10	4.005	4.21896	4.40459	
11	4.00408	4.21822	4.40412	
12	4.00316	4.21748	4.40364	
13	4.00224	4.21674	4.40317	
14	4.00132	4.216	4.40269	
15	4.00039	4.21526	4.40221	
16	3.99947	4.21451	4.40173	
17	3.99854	4.21377	4.40125	
18	3.99762	4.21302	4.40077	
19	3.99669	4.21228	4.40029	
20	3.99577	4.21153	4.3998	
21	3.99484	4.21079	4.39932	
22	3.99391	4.21004	4.39883	
23	3.99298	4.20929	4.39835	
24	3.99205	4.20854	4.39786	
25	3.99113	4.20779	4.39737	
26	3.9902	4.20704	4.39688	
27	3.98926	4.20629	4.39639	
28	3.98833	4.20554	4.3959	
29	3.9874	4.20478	4.39541	
30	3.98647	4.20403	4.39492	
31	3.98553	4.20327	4.39442	
32	3.9846	4.20252	4.39393	
33	3.98367	4.20176	4.39343	
34	3.98273	4.20101	4.39294	
35	3.9818	4.20025	4.39244	
36	3.98086	4.19949	4.39194	
37	3.97992	4.19873	4.39144	
38	3.97898	4.19797	4.39094	
39	3.97805	4.19721	4.39044	
40	3.97711	4.19645	4.38994	
41	3.97617	4.19569	4.38943	
42	3.97523	4.19492	4.38893	
43	3.97429	4.19416	4.38843	
44	3.97334	4.1934	4.38792	
45	3.9724	4.19263	4.38741	
46	3.97146	4.19186	4.3869	
47	3.97052	4.1911	4.3864	
48	3.96957	4.19033	4.38589	
49	3.96863	4.18956	4.38538	
50	3.96768	4.18879	4.38486	
51	3.96674	4.18802	4.38435	
52	3.96579	4.18725	4.38384	
53	3.96485	4.18648	4.38332	
54	3.9639	4.18571	4.38281	
55	3.96295	4.18493	4.38229	
56	3.962	4.18416	4.38177	
57	3.96105	4.18339	4.38126	
58	3.9601	4.18261	4.38074	
59	3.95915	4.18184	4.38022	
60	3.9582	4.18106	4.3797	
61	3.95725	4.18028	4.37917	
62	3.9563	4.1795	4.37865	
63	3.95534	4.17872	4.37813	
64	3.95439	4.17794	4.3776	
65	3.95344	4.17716	4.37708	
66	3.95248	4.17638	4.37655	
67	3.95153	4.1756	4.37602	
68	3.95057	4.17482	4.3755	
69	3.94961	4.17403	4.37497	
70	3.94866	4.17325	4.37444	
71	3.9477	4.17247	4.37391	
72	3.94674	4.17168	4.37337	
73	3.94578	4.17089	4.37284	
74	3.94482	4.17011	4.37231	
75	3.94386	4.16932	4.37177	
76	3.9429	4.16853	4.37124	
77	3.94194	4.16774	4.3707	
78	3.94098	4.16695	4.37016	
79	3.94001	4.16616	4.36962	
80	3.93905	4.16537	4.36908	
81	3.93809	4.16458	4.36854	
82	3.93712	4.16378	4.368	
83	3.93616	4.16299	4.36746	
84	3.93519	4.16219	4.36692	
85	3.93423	4.1614	4.36637	
86	3.93326	4.1606	4.36583	
87	3.93229	4.15981	4.36528	
88	3.93133	4.15901	4.36474	
89	3.93036	4.15821	4.36419	
90	3.92939	4.15741	4.36364	
91	3.92842	4.15661	4.36309	
92	3.92745	4.15581	4.36254	
93	3.92648	4.15501	4.36199	
94	3.92551	4.15421	4.36144	
95	3.92453	4.1534	4.36088	
96	3.92356	4.1526	4.36033	
97	3.92259	4.1518	4.35977	
98	3.92162	4.15099	4.35922	
99	3.92064	4.15019	4.35866	
100	3.91967	4.14938	4.3581	
101	3.91869	4.14857	4.35755	
102	3.91772	4.14776	4.35699	
103	3.91674	4.14696	4.35643	
104	3.91576	4.14615	4.35586	
105	3.91478	4.14534	4.3553	
106	3.91381	4.14453	4.35474	
107	3.91283	4.14371	4.35417	
108	3.91185	4.1429	4.35361	
109	3.91087	4.14209	4.35304	
110	3.90989	4.14128	4.35248	
111	3.90891	4.14046	4.35191	
112	3.90792	4.13965	4.35134	
113	3.90694	4.13883	4.35077	
114	3.90596	4.13801	4.3502	
115	3.90497	4.1372	4.34963	
116	3.90399	4.13638	4.34906	
117	3.90301	4.13556	4.34849	
118	3.90202	4.13474	4.34791	
119	3.90104	4.13392	4.34734	
120	3.90005	4.1331	4.34676	
121	3.89906	4.13228	4.34618	
122	3.89807	4.13146	4.34561	
123	3.89709	4.13063	4.34503	
124	3.8961	4.12981	4.34445	
125	3.89511	4.12899	4.34387	
126	3.89412	4.12816	4.34329	
127	3.89313	4.12733	4.34271	
128	3.89214	4.12651	4.34212	
129	3.89115	4.12568	4.34154	
130	3.89015	4.12485	4.34096	
131	3.88916	4.12402	4.34037	
132	3.88817	4.12319	4.33978	
133	3.88718	4.12236	4.3392	
134	3.88618	4.12153	4.33861	
135	3.88519	4.1207	4.33802	
136	3.88419	4.11987	4.33743	
137	3.88319	4.11904	4.33684	
138	3.8822	4.1182	4.33625	
139	3.8812	4.11737	4.33565	
140	3.8802	4.11653	4.33506	
141	3.87921	4.1157	4.33447	
142	3.87821	4.11486	4.33387	
143	3.87721	4.11402	4.33327	
144	3.87621	4.11319	4.33268	
145	3.87521	4.11235	4.33208	
146	3.87421	4.11151	4.33148	
147	3.87321	4.11067	4.33088	
148	3.8722	4.10983	4.33028	
149	3.8712	4.10899	4.32968	
150	3.8702	4.10814	4.32908	
151	3.86919	4.1073	4.32847	
152	3.86819	4.10646	4.32787	
153	3.86718	4.10561	4.32727	
154	3.86618	4.10477	4.32666	
155	3.86517	4.10392	4.32605	
156	3.86417	4.10308	4.32545	
157	3.86316	4.10223	4.32484	
158	3.86215	4.10138	4.32423	
159	3.86114	4.10053	4.32362	
160	3.86014	4.09968	4.32301	
161	3.85913	4.09883	4.32239	
162	3.85812	4.09798	4.32178	
163	3.85711	4.09713	4.32117	
164	3.8561	4.09628	4.32055	
165	3.85508	4.09543	4.31994	
