 x1	  y1
1.24039	 8.51859
3.32917	 10.1984
5.41794	 12.1647
7.50672	 14.4569
9.59549	 17.1181
11.6843	 20.1948
13.773	 23.7371
15.8618	 27.7985
17.9506	 32.4355
20.0394	 37.7071
22.1282	 43.6749
24.2169	 50.4016
26.3057	 57.9511
28.3945	 66.3872
30.4833	 75.7725
32.572	 86.1675
34.6608	 97.6293
36.7496	 110.21
38.8384	 123.956
40.9271	 138.906
43.0159	 155.087
45.1047	 172.519
47.1935	 191.206
49.2822	 211.141
51.371	 232.299
53.4598	 254.641
55.5486	 278.108
57.6373	 302.624
59.7261	 328.093
61.8149	 354.402
63.9037	 381.418
65.9925	 408.987
68.0812	 436.942
70.17	 465.095
72.2588	 493.248
74.3476	 521.187
76.4363	 548.689
78.5251	 575.525
80.6139	 601.46
82.7027	 626.26
84.7914	 649.691
86.8802	 671.527
88.969	 691.553
91.0578	 709.565
93.1465	 725.377
95.2353	 738.822
97.3241	 749.758
99.4129	 758.066
101.502	 763.656
103.59	 766.466
105.679	 766.467
107.768	 763.657
109.857	 758.068
111.946	 749.761
114.034	 738.827
116.123	 725.382
118.212	 709.571
120.301	 691.56
122.389	 671.535
124.478	 649.699
126.567	 626.269
128.656	 601.47
130.745	 575.535
132.833	 548.7
134.922	 521.197
137.011	 493.259
139.1	 465.106
141.188	 436.952
143.277	 408.998
145.366	 381.428
147.455	 354.412
149.543	 328.103
151.632	 302.633
153.721	 278.117
155.81	 254.649
157.899	 232.308
159.987	 211.149
162.076	 191.214
164.165	 172.526
166.254	 155.093
168.342	 138.911
170.431	 123.962
172.52	 110.215
174.609	 97.6338
176.698	 86.1716
178.786	 75.7762
180.875	 66.3905
182.964	 57.9541
185.053	 50.4042
187.141	 43.6772
189.23	 37.7092
191.319	 32.4373
193.408	 27.8002
195.497	 23.7386
197.585	 20.196
199.674	 17.1192
201.763	 14.4579
203.852	 12.1655
205.94	 10.1991
208.029	 8.51917
