 x1	  y1
0	 0.000862332
10	 0.000884331
20	 0.000906452
30	 0.000928696
40	 0.00095106
50	 0.000973544
60	 0.000996146
70	 0.00101886
80	 0.00104169
90	 0.00106464
100	 0.00108768
110	 0.00111083
120	 0.00113408
130	 0.00115743
140	 0.00118086
150	 0.00120437
160	 0.00122796
170	 0.00125163
180	 0.00728503
190	 0.00802974
200	 0.00877202
210	 0.00949899
220	 0.010195
230	 0.0108419
240	 0.0114199
250	 0.0119089
260	 0.0122891
270	 0.0125436
280	 0.0126591
290	 0.0126278
300	 0.0124483
310	 0.0121258
320	 0.0116723
330	 0.0111051
340	 0.0104459
350	 0.00971892
360	 0.00894876
370	 0.00815918
380	 0.00737154
390	 0.00660396
400	 0.00587084
410	 0.00518276
420	 0.00454672
430	 0.00396653
440	 0.00344341
450	 0.00297647
460	 0.00256334
470	 0.00220059
480	 0.00188417
490	 0.00160973
500	 0.00137285
510	 0.00116923
520	 0.000994821
530	 0.000845857
540	 0.000718929
550	 0.000610985
560	 0.00051932
570	 0.000441565
580	 0.000375656
590	 0.000319812
600	 0.000272498
610	 0.000232403
620	 0.000198408
630	 0.000169563
640	 0.00014506
650	 0.000124216
660	 0.000106455
670	 9.12886e-05
680	 7.83053e-05
690	 6.71573e-05
700	 5.75506e-05
