 x	TSMQoEUP20	TSMQoEDOWN20	TSMQoSUP20	TSMQoSDOWN20	ProportionalFairUP20	ProportionalFairQoEUP20	ProportionalFairQoEDOWN20	ProportionalFairDOWN20	ProportionalFairQoE20	TSMQoS20	ProportionalFair20	TSMQoE20	TSMQoSUP10	ProportionalFairQoEUP10	ProportionalFairUP10	ProportionalFairQoEDOWN10	TSMQoSDOWN10	ProportionalFairDOWN10	TSMQoEDOWN10	TSMQoEUP10	TSMQoS10	ProportionalFair10	TSMQoE10	ProportionalFairQoE10	ProportionalFairQoEDOWN0	ProportionalFairQoE0	ProportionalFairQoEUP0	ProportionalFairDOWN0	ProportionalFair0	ProportionalFairUP0	TSMQoEDOWN0	TSMQoE0	TSMQoEUP0	TSMQoSDOWN0	TSMQoS0	TSMQoSUP0	
10	0.00383601	0.00222825	0.00444444	0.00222222	0.00444444	0.00590235	0.00232558	0.00333333	0.997495	0.996667	0.996667	0.9973	0.00470182	0.00444444	0.00530223	0.00111111	0.00330134	0.00250007	0.00116027	0.00396321	0.996699	0.997407	0.998679	0.998889	0.00111111	0.998889	0.00333333	0.00165936	0.998318	0.00387345	0.00111111	0.998889	0.00333333	0.00179786	0.997353	0.00666667	
20	0.00826691	0.00416385	0.00521072	0.00437938	0.0075756	0.00604178	0.00382225	0.00430899	0.988875	0.988189	0.986676	0.98858	0.00556041	0.00664492	0.00501534	0.0030463	0.00388889	0.0039189	0.00311662	0.00596332	0.9906	0.991359	0.991932	0.992338	0.00367252	0.993476	0.00389978	0.00286997	0.992593	0.0048157	0.00432769	0.993477	0.00343365	0.00332409	0.991241	0.00504984	
30	0.0048014	0.00834518	0.0102658	0.00698186	0.00875085	0.0116466	0.00562259	0.0102527	0.972253	0.957533	0.959365	0.97062	0.00747362	0.00811852	0.00647342	0.00446125	0.00645443	0.00426783	0.00409147	0.00568045	0.96992	0.971445	0.978147	0.981498	0.00388319	0.984271	0.00684455	0.00576413	0.975383	0.00628627	0.0053587	0.981926	0.00639149	0.00591982	0.976782	0.00945216	
40	0.00900105	0.00970371	0.0105824	0.0138822	0.0160258	0.0468013	0.0251137	0.0178252	0.896388	0.901513	0.916387	0.931694	0.0102314	0.0196537	0.0146286	0.01219	0.0127821	0.0108704	0.0100934	0.00844675	0.92381	0.934451	0.946151	0.937585	0.0136513	0.945567	0.0140229	0.011839	0.940866	0.0140078	0.00837812	0.951595	0.00570881	0.0101122	0.936233	0.00939911	
50	0.00681928	0.00742001	0.00700864	0.0118264	0.0846123	0.0832249	0.0843459	0.0878121	0.401751	0.838986	0.569004	0.880901	0.00578691	0.0862624	0.0822638	0.0953649	0.00630982	0.0358374	0.00880271	0.00634831	0.863617	0.755737	0.898235	0.558905	0.0738982	0.608703	0.124488	0.0393479	0.80653	0.0459965	0.00755286	0.905882	0.00675378	0.00744408	0.879143	0.00748651	
60	0.00950317	0.00656634	0.00811291	0.0130455	0.000500812	0	0	0.00120043	0	0.770734	0.000749702	0.817202	0.00729257	0.0286761	0.0397368	0.0446686	0.00732051	0.0870336	0.00768046	0.00889952	0.798	0.0872731	0.837578	0.0426472	0.0466845	0.0679217	0.0334967	0.0735812	0.132978	0.0458463	0.00720916	0.849121	0.00737685	0.00962442	0.810326	0.00815542	
70	0.00866506	0.00621223	0.010221	0.00737879	0	0	0	0	0	0.706835	0	0.744161	0.00817926	0	0	0	0.00887346	0	0.00656052	0.00880248	0.731442	0	0.768643	0	0	0	0	0.00189892	0.00047473	0.00047473	0.0104282	0.780165	0.00792867	0.00828524	0.743875	0.00656224	
80	0.00707014	0.00900041	0.0098035	0.0117424	0	0	0	0	0	0.625724	0	0.653567	0.0114325	0	0	0	0.0104402	0	0.0116774	0.00752717	0.650221	0	0.678602	0	0	0	0	0	0	0	0.0117553	0.692216	0.00785514	0.00846034	0.659751	0.00910109	
90	0.00671932	0.0109813	0.00766207	0.0066907	0	0	0	0	0	0.565259	0	0.586795	0.00953312	0	0	0	0.00569939	0	0.00854725	0.0102813	0.589216	0	0.611292	0	0	0	0	0	0	0	0.00592135	0.623177	0.007396	0.00768485	0.601699	0.00810082	
100	0.00687697	0.00607997	0.00733053	0.00565153	0	0	0	0	0	0.514247	0	0.528403	0.00699292	0	0	0	0.00922271	0	0.00555447	0.00567126	0.529499	0	0.549848	0	0	0	0	0	0	0	0.00750476	0.559395	0.0045825	0.00833146	0.547662	0.00764673	
