 x	DSM	TSM	
0	0.999898	0.000101924	
0.0001	0.999898	0.000102018	
0.0002	0.999898	0.000102112	
0.0003	0.999898	0.000102206	
0.0004	0.999898	0.0001023	
0.0005	0.999898	0.000102394	
0.0006	0.999898	0.000102488	
0.0007	0.999897	0.000102582	
0.0008	0.999897	0.000102677	
0.0009	0.999897	0.000102771	
0.001	0.999897	0.000102866	
0.0011	0.999897	0.00010296	
0.0012	0.999897	0.000103055	
0.0013	0.999897	0.00010315	
0.0014	0.999897	0.000103244	
0.0015	0.999897	0.000103339	
0.0016	0.999897	0.000103434	
0.0017	0.999896	0.000103529	
0.0018	0.999896	0.000103625	
0.0019	0.999896	0.00010372	
0.002	0.999896	0.000103815	
0.0021	0.999896	0.000103911	
0.0022	0.999896	0.000104006	
0.0023	0.999896	0.000104102	
0.0024	0.999896	0.000104198	
0.0025	0.999896	0.000104293	
0.0026	0.999896	0.000104389	
0.0027	0.999896	0.000104485	
0.0028	0.999895	0.000104581	
0.0029	0.999895	0.000104677	
0.003	0.999895	0.000104774	
0.0031	0.999895	0.00010487	
0.0032	0.999895	0.000104966	
0.0033	0.999895	0.000105063	
0.0034	0.999895	0.00010516	
0.0035	0.999895	0.000105256	
0.0036	0.999895	0.000105353	
0.0037	0.999895	0.00010545	
0.0038	0.999894	0.000105547	
0.0039	0.999894	0.000105644	
0.004	0.999894	0.000105741	
0.0041	0.999894	0.000105838	
0.0042	0.999894	0.000105936	
0.0043	0.999894	0.000106033	
0.0044	0.999894	0.00010613	
0.0045	0.999894	0.000106228	
0.0046	0.999894	0.000106326	
0.0047	0.999894	0.000106423	
0.0048	0.999893	0.000106521	
0.0049	0.999893	0.000106619	
0.005	0.999893	0.000106717	
0.0051	0.999893	0.000106815	
0.0052	0.999893	0.000106914	
0.0053	0.999893	0.000107012	
0.0054	0.999893	0.00010711	
0.0055	0.999893	0.000107209	
0.0056	0.999893	0.000107307	
0.0057	0.999893	0.000107406	
0.0058	0.999892	0.000107505	
0.0059	0.999892	0.000107604	
0.006	0.999892	0.000107703	
0.0061	0.999892	0.000107802	
0.0062	0.999892	0.000107901	
0.0063	0.999892	0.000108	
0.0064	0.999892	0.000108099	
0.0065	0.999892	0.000108199	
0.0066	0.999892	0.000108298	
0.0067	0.999892	0.000108398	
0.0068	0.999892	0.000108497	
0.0069	0.999891	0.000108597	
0.007	0.999891	0.000108697	
0.0071	0.999891	0.000108797	
0.0072	0.999891	0.000108897	
0.0073	0.999891	0.000108997	
0.0074	0.999891	0.000109097	
0.0075	0.999891	0.000109198	
0.0076	0.999891	0.000109298	
0.0077	0.999891	0.000109398	
0.0078	0.999891	0.000109499	
0.0079	0.99989	0.0001096	
0.008	0.99989	0.0001097	
0.0081	0.99989	0.000109801	
0.0082	0.99989	0.000109902	
0.0083	0.99989	0.000110003	
0.0084	0.99989	0.000110104	
0.0085	0.99989	0.000110206	
0.0086	0.99989	0.000110307	
0.0087	0.99989	0.000110408	
0.0088	0.999889	0.00011051	
0.0089	0.999889	0.000110612	
0.009	0.999889	0.000110713	
0.0091	0.999889	0.000110815	
0.0092	0.999889	0.000110917	
0.0093	0.999889	0.000111019	
0.0094	0.999889	0.000111121	
0.0095	0.999889	0.000111223	
0.0096	0.999889	0.000111325	
0.0097	0.999889	0.000111428	
0.0098	0.999888	0.00011153	
0.0099	0.999888	0.000111633	
0.01	0.999888	0.000111735	
0.0101	0.999888	0.000111838	
0.0102	0.999888	0.000111941	
0.0103	0.999888	0.000112044	
0.0104	0.999888	0.000112147	
0.0105	0.999888	0.00011225	
0.0106	0.999888	0.000112353	
0.0107	0.999888	0.000112457	
0.0108	0.999887	0.00011256	
0.0109	0.999887	0.000112663	
0.011	0.999887	0.000112767	
0.0111	0.999887	0.000112871	
0.0112	0.999887	0.000112975	
0.0113	0.999887	0.000113078	
0.0114	0.999887	0.000113182	
0.0115	0.999887	0.000113286	
0.0116	0.999887	0.000113391	
0.0117	0.999887	0.000113495	
0.0118	0.999886	0.000113599	
0.0119	0.999886	0.000113704	
0.012	0.999886	0.000113808	
0.0121	0.999886	0.000113913	
0.0122	0.999886	0.000114018	
0.0123	0.999886	0.000114122	
0.0124	0.999886	0.000114227	
0.0125	0.999886	0.000114332	
0.0126	0.999886	0.000114437	
0.0127	0.999885	0.000114543	
0.0128	0.999885	0.000114648	
0.0129	0.999885	0.000114753	
0.013	0.999885	0.000114859	
0.0131	0.999885	0.000114965	
0.0132	0.999885	0.00011507	
0.0133	0.999885	0.000115176	
0.0134	0.999885	0.000115282	
0.0135	0.999885	0.000115388	
0.0136	0.999885	0.000115494	
0.0137	0.999884	0.0001156	
0.0138	0.999884	0.000115706	
0.0139	0.999884	0.000115813	
0.014	0.999884	0.000115919	
0.0141	0.999884	0.000116026	
0.0142	0.999884	0.000116133	
0.0143	0.999884	0.000116239	
0.0144	0.999884	0.000116346	
0.0145	0.999884	0.000116453	
0.0146	0.999883	0.00011656	
0.0147	0.999883	0.000116667	
0.0148	0.999883	0.000116775	
0.0149	0.999883	0.000116882	
0.015	0.999883	0.00011699	
0.0151	0.999883	0.000117097	
0.0152	0.999883	0.000117205	
0.0153	0.999883	0.000117313	
0.0154	0.999883	0.00011742	
0.0155	0.999882	0.000117528	
0.0156	0.999882	0.000117636	
0.0157	0.999882	0.000117745	
0.0158	0.999882	0.000117853	
0.0159	0.999882	0.000117961	
0.016	0.999882	0.00011807	
0.0161	0.999882	0.000118178	
0.0162	0.999882	0.000118287	
0.0163	0.999882	0.000118396	
0.0164	0.999881	0.000118504	
0.0165	0.999881	0.000118613	
0.0166	0.999881	0.000118723	
0.0167	0.999881	0.000118832	
0.0168	0.999881	0.000118941	
0.0169	0.999881	0.00011905	
0.017	0.999881	0.00011916	
0.0171	0.999881	0.000119269	
0.0172	0.999881	0.000119379	
0.0173	0.999881	0.000119489	
0.0174	0.99988	0.000119599	
0.0175	0.99988	0.000119709	
0.0176	0.99988	0.000119819	
0.0177	0.99988	0.000119929	
0.0178	0.99988	0.000120039	
0.0179	0.99988	0.000120149	
